date,E,U,vacancy_stock,tot_hires,tot_layoffs
2002-01-01,135701,8182.0,3699,4855,1907
2002-02-01,136438,8215.0,3436,4801,1978
2002-03-01,136177,8304.0,3612,4706,1883
2002-04-01,136126,8599.0,3471,4928,1956
2002-05-01,136539,8399.0,3457,4857,1967
2002-06-01,136415,8393.0,3412,4869,2015
2002-07-01,136413,8390.0,3367,4946,2102
2002-08-01,136705,8304.0,3517,4871,1923
2002-09-01,137302,8251.0,3301,4879,2022
2002-10-01,137008,8307.0,3479,4798,1935
2002-11-01,136521,8520.0,3514,4792,1944
2002-12-01,136426,8640.0,3169,4893,2007
2003-01-01,137417,8520.0,3441,5058,2109
2003-02-01,137482,8618.0,3229,4714,2015
2003-03-01,137434,8588.0,3099,4470,1949
2003-04-01,137633,8842.0,3108,4600,1998
2003-05-01,137544,8957.0,3289,4678,2072
2003-06-01,137790,9266.0,3390,4682,2076
2003-07-01,137474,9011.0,2981,4639,2062
2003-08-01,137549,8896.0,3190,4666,2162
2003-09-01,137609,8921.0,3091,4799,1932
2003-10-01,137984,8732.0,3305,4902,1969
2003-11-01,138424,8576.0,3324,4767,1951
2003-12-01,138411,8317.0,3414,4984,2007
2004-01-01,138472,8370.0,3424,4900,2037
2004-02-01,138542,8167.0,3532,4788,1985
2004-03-01,138453,8491.0,3525,5227,2065
2004-04-01,138680,8170.0,3511,5152,2010
2004-05-01,138852,8212.0,3710,4976,1914
2004-06-01,139174,8286.0,3337,5009,1887
2004-07-01,139556,8136.0,3814,4891,1885
2004-08-01,139573,7990.0,3541,5013,1974
2004-09-01,139487,7927.0,3821,5062,2027
2004-10-01,139732,8061.0,3943,5149,1903
2004-11-01,140231,7932.0,3472,5181,2037
2004-12-01,140125,7934.0,4074,5153,1951
2005-01-01,140245,7784.0,3804,5201,2008
2005-02-01,140385,7980.0,3965,5276,2068
2005-03-01,140654,7737.0,4044,5273,2188
2005-04-01,141254,7672.0,4159,5362,1957
2005-05-01,141609,7651.0,3797,5271,2021
2005-06-01,141714,7524.0,4062,5376,2015
2005-07-01,142026,7406.0,4256,5328,1898
2005-08-01,142434,7345.0,4142,5409,1905
2005-09-01,142401,7553.0,4352,5493,2032
2005-10-01,142548,7453.0,4184,5124,1873
2005-11-01,142499,7566.0,4248,5344,1769
2005-12-01,142752,7279.0,4282,5294,1923
2006-01-01,143150,7064.0,4397,5271,1784
2006-02-01,143457,7184.0,4325,5474,1882
2006-03-01,143741,7072.0,4732,5524,1888
2006-04-01,143761,7120.0,4790,5215,1853
2006-05-01,144089,6980.0,4463,5498,1991
2006-06-01,144353,7001.0,4614,5455,1817
2006-07-01,144202,7175.0,4394,5573,1860
2006-08-01,144625,7091.0,4710,5373,1775
2006-09-01,144815,6847.0,4737,5288,1831
2006-10-01,145314,6727.0,4591,5375,1898
2006-11-01,145534,6872.0,4645,5495,1926
2006-12-01,145970,6762.0,4620,5214,1772
2007-01-01,146028,7116.0,4763,5426,1922
2007-02-01,146057,6927.0,4699,5160,1850
2007-03-01,146320,6731.0,4962,5479,1882
2007-04-01,145586,6850.0,4689,5353,2000
2007-05-01,145903,6766.0,4657,5469,1967
2007-06-01,146063,6979.0,4859,5267,1845
2007-07-01,145905,7149.0,4598,5217,1896
2007-08-01,145682,7067.0,4546,5358,2033
2007-09-01,146244,7170.0,4652,5344,2188
2007-10-01,145946,7237.0,4636,5398,1998
2007-11-01,146595,7240.0,4646,5176,1966
2007-12-01,146273,7645.0,4545,5119,1915
2008-01-01,146378,7685.0,4624,5071,1989
2008-02-01,146156,7497.0,4279,5077,1995
2008-03-01,146086,7822.0,4225,4924,1918
2008-04-01,146132,7637.0,4035,4948,1958
2008-05-01,145908,8395.0,4194,4691,1950
2008-06-01,145737,8575.0,3830,4893,2172
2008-07-01,145532,8937.0,3749,4637,2071
2008-08-01,145203,9438.0,3674,4682,2190
2008-09-01,145076,9494.0,3222,4499,2088
2008-10-01,144802,10074.0,3377,4548,2250
2008-11-01,144100,10538.0,3231,4104,2290
2008-12-01,143369,11286.0,3146,4348,2482
2009-01-01,142152,12058.0,2738,4095,2581
2009-02-01,141640,12898.0,2864,4061,2599
2009-03-01,140707,13426.0,2534,3858,2575
2009-04-01,140656,13853.0,2295,3888,2654
2009-05-01,140248,14499.0,2549,3758,2231
2009-06-01,140009,14707.0,2503,3639,2261
2009-07-01,139901,14601.0,2232,3857,2267
2009-08-01,139492,14814.0,2338,3810,2119
2009-09-01,138818,15009.0,2487,3944,2195
2009-10-01,138432,15352.0,2406,3838,2028
2009-11-01,138659,15219.0,2503,4024,1913
2009-12-01,138013,15098.0,2568,4004,2033
2010-01-01,138438,15046.0,2837,3904,1880
2010-02-01,138581,15113.0,2666,3864,1825
2010-03-01,138751,15202.0,2679,4302,1924
2010-04-01,139297,15325.0,3153,4159,1749
2010-05-01,139241,14849.0,2988,4420,1762
2010-06-01,139141,14474.0,2801,4111,2075
2010-07-01,139179,14512.0,3082,4163,2166
2010-08-01,139438,14648.0,2999,4046,1890
2010-09-01,139396,14579.0,2918,4034,1832
2010-10-01,139119,14516.0,3235,4173,1745
2010-11-01,139044,15081.0,3211,4182,1849
2010-12-01,139301,14348.0,3058,4299,1854
2011-01-01,139250,14013.0,3104,4000,1827
2011-02-01,139394,13820.0,3226,4231,1755
2011-03-01,139639,13737.0,3261,4430,1794
2011-04-01,139586,13957.0,3259,4296,1792
2011-05-01,139624,13855.0,3179,4261,1904
2011-06-01,139384,13962.0,3455,4366,1942
2011-07-01,139524,13763.0,3623,4261,1845
2011-08-01,139942,13818.0,3329,4298,1845
2011-09-01,140183,13948.0,3774,4429,1872
2011-10-01,140368,13594.0,3619,4370,1794
2011-11-01,140826,13302.0,3565,4365,1912
2011-12-01,140902,13093.0,3768,4356,1801
2012-01-01,141584,12797.0,3909,4457,1797
2012-02-01,141858,12813.0,3616,4560,1903
2012-03-01,142036,12713.0,3979,4575,1784
2012-04-01,141899,12646.0,3793,4389,1880
2012-05-01,142206,12660.0,3835,4533,1969
2012-06-01,142391,12692.0,3911,4440,1892
2012-07-01,142292,12656.0,3735,4327,1722
2012-08-01,142291,12471.0,3809,4450,1894
2012-09-01,143044,12115.0,3882,4302,1805
2012-10-01,143431,12124.0,3775,4389,1891
2012-11-01,143333,12005.0,3878,4489,1921
2012-12-01,143330,12298.0,3970,4452,1700
2013-01-01,143292,12471.0,3923,4487,1678
2013-02-01,143362,11950.0,4004,4571,1664
2013-03-01,143316,11689.0,4076,4369,1787
2013-04-01,143635,11760.0,3988,4572,1793
2013-05-01,143882,11654.0,4145,4663,1836
2013-06-01,143999,11751.0,4150,4440,1761
2013-07-01,144264,11335.0,3885,4561,1713
2013-08-01,144326,11279.0,4085,4730,1816
2013-09-01,144418,11270.0,4128,4726,1892
2013-10-01,143537,11136.0,4222,4518,1675
2013-11-01,144479,10787.0,4119,4622,1630
2013-12-01,144778,10404.0,4121,4614,1770
2014-01-01,145150,10202.0,4127,4626,1806
2014-02-01,145134,10349.0,4373,4696,1767
2014-03-01,145648,10380.0,4388,4763,1703
2014-04-01,145667,9702.0,4566,4880,1764
2014-05-01,145825,9859.0,4747,4808,1710
2014-06-01,146247,9460.0,4982,4925,1761
2014-07-01,146399,9608.0,4846,5008,1781
2014-08-01,146530,9599.0,5349,4810,1699
2014-09-01,146778,9262.0,4914,5149,1718
2014-10-01,147427,8990.0,5012,5111,1835
2014-11-01,147404,9090.0,4843,4978,1726
2014-12-01,147615,8717.0,5130,5192,1857
2015-01-01,148145,8885.0,5344,5061,1789
2015-02-01,148045,8599.0,5466,5127,1757
2015-03-01,148128,8515.0,5210,5126,1973
2015-04-01,148511,8550.0,5598,5196,1856
2015-05-01,148817,8834.0,5563,5142,1711
2015-06-01,148816,8247.0,5248,5125,1821
2015-07-01,148830,8167.0,6056,5150,1703
2015-08-01,149181,7992.0,5467,5163,1773
2015-09-01,148826,7907.0,5488,5287,1964
2015-10-01,149246,7922.0,5773,5338,1845
2015-11-01,149463,8000.0,5708,5358,1779
2015-12-01,150128,7907.0,5845,5540,1803
2016-01-01,150653,7627.0,6012,5220,1805
2016-02-01,150939,7702.0,5770,5470,1894
2016-03-01,151218,7961.0,6129,5359,1850
2016-04-01,151074,8067.0,5803,5294,1771
2016-05-01,151132,7652.0,5777,5197,1825
2016-06-01,151223,7744.0,5742,5281,1750
2016-07-01,151554,7641.0,5962,5426,1759
2016-08-01,151779,7784.0,5677,5327,1860
2016-09-01,151761,7953.0,5868,5306,1588
2016-10-01,151793,7811.0,5591,5210,1664
2016-11-01,151954,7553.0,5971,5308,1751
2016-12-01,152157,7521.0,5964,5343,1708
2017-01-01,152152,7468.0,5617,5499,1745
2017-02-01,152480,7379.0,5923,5350,1711
2017-03-01,153065,7073.0,5811,5395,1762
2017-04-01,153255,7089.0,6091,5272,1710
2017-05-01,153069,7000.0,5826,5477,1794
2017-06-01,153318,6873.0,6305,5635,1970
2017-07-01,153569,6892.0,6238,5497,1910
2017-08-01,153503,7082.0,6276,5519,1868
2017-09-01,154286,6854.0,6320,5450,1787
2017-10-01,153609,6700.0,6408,5581,1837
2017-11-01,153805,6774.0,6271,5494,1747
2017-12-01,153904,6632.0,6336,5421,1732
2018-01-01,154425,6489.0,6621,5512,1932
2018-02-01,155197,6581.0,6552,5624,1771
2018-03-01,155214,6472.0,6818,5623,1795
2018-04-01,155312,6459.0,6877,5590,1727
2018-05-01,155652,6196.0,7016,5859,1775
2018-06-01,155762,6447.0,7230,5760,1822
2018-07-01,156146,6195.0,7190,5649,1806
2018-08-01,155504,6156.0,7208,5815,1803
2018-09-01,156015,6073.0,7411,5625,1764
2018-10-01,156391,6211.0,7304,5907,1813
2018-11-01,156721,6115.0,7594,5826,1938
2018-12-01,156817,6389.0,7489,5768,1839
2019-01-01,156487,6475.0,7502,5786,1705
2019-02-01,156863,6136.0,7066,5704,1763
2019-03-01,156701,6202.0,7317,5689,1690
2019-04-01,156625,5961.0,7272,6016,1963
2019-05-01,156821,5930.0,7275,5686,1775
2019-06-01,157232,5935.0,7194,5801,1780
2019-07-01,157529,6061.0,7042,5871,1833
2019-08-01,157829,5945.0,7178,5900,1808
2019-09-01,158339,5753.0,7124,5963,1970
2019-10-01,158545,5871.0,7289,5781,1819
2019-11-01,158629,5868.0,6888,5847,1782
2019-12-01,158845,5853.0,6699,5951,1931
2020-01-01,158508,5869.0,7170,5968,1795
2020-02-01,158714,5753.0,6974,5997,1951
2020-03-01,155353,7206.0,5924,5195,13516
2020-04-01,133185,23084.0,4637,4016,9128
2020-05-01,137173,20929.0,5593,8136,2156
2020-06-01,142342,17652.0,6156,7461,2233
2020-07-01,143779,16352.0,6491,6304,1838
2020-08-01,147245,13461.0,6369,5993,1568
2020-09-01,147620,12554.0,6505,5974,1572
2020-10-01,149931,11072.0,6838,6090,1695
2020-11-01,149934,10694.0,6857,5883,2133
2020-12-01,149975,10770.0,6758,5573,1915
2021-01-01,149852,10236.0,7185,5607,1638
2021-02-01,150189,9995.0,7818,5832,1643
2021-03-01,150644,9756.0,8519,6161,1485
2021-04-01,151081,9762.0,9282,6178,1398
2021-05-01,151535,9266.0,9905,6021,1368
2021-06-01,151734,9462.0,10317,6581,1287
2021-07-01,152773,8731.0,10991,6723,1410
2021-08-01,153250,8276.0,10884,6374,1338
2021-09-01,153843,7652.0,10875,6644,1443
2021-10-01,154475,7279.0,11365,6682,1291
2021-11-01,155530,6751.0,11178,6816,1375
2021-12-01,156099,6398.0,11511,6618,1388
2022-01-01,157115,6512.0,11243,6421,1406
2022-02-01,157598,6301.0,11700,6862,1438
2022-03-01,158206,6014.0,12182,6619,1388
2022-04-01,157891,6002.0,11773,6576,1320
2022-05-01,158378,5983.0,11473,6465,1530
2022-06-01,158094,5951.0,11204,6449,1465
2022-07-01,158258,5768.0,11537,6457,1462
2022-08-01,158735,5919.0,10119,6453,1602
2022-09-01,158810,5792.0,10784,6188,1463
2022-10-01,158684,5964.0,10526,6118,1563
2022-11-01,158507,5943.0,10702,6106,1472
2022-12-01,159259,5766.0,11000,6143,1513
2023-01-01,160217,5747.0,10425,6374,1868
2023-02-01,160395,5962.0,9849,6058,1571
2023-03-01,160812,5839.0,9623,5955,1825
2023-04-01,160974,5751.0,9904,5951,1636
2023-05-01,160796,6089.0,9311,6171,1531
2023-06-01,160979,5958.0,9125,5895,1589
2023-07-01,161183,5920.0,8805,5733,1698
2023-08-01,161475,6284.0,9358,5888,1664
2023-09-01,161442,6326.0,9307,5851,1595
2023-10-01,161211,6479.0,8685,5814,1653
2023-11-01,161886,6254.0,8931,5569,1546
2023-12-01,161124,6315.0,8889,5787,1607
2024-01-01,161190,6149.0,8748,5698,1596
2024-02-01,161013,6462.0,8813,5781,1681
2024-03-01,161425,6497.0,8355,5617,1601
2024-04-01,161495,6492.0,7919,5615,1542
2024-05-01,161164,6635.0,8230,5655,1678
2024-06-01,161155,6849.0,7910,5248,1560
2024-07-01,161219,7097.0,7711,5416,1713
2024-08-01,161425,7071.0,7861,5435,1668
2024-09-01,161802,6901.0,7372,5582,1802
2024-10-01,161456,6972.0,7839,5394,1748
2024-11-01,161183,7121.0,8156,5373,1800
2024-12-01,161661,6886.0,7600,5462,1771
